Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;no_doses;n_subjects
Viney2021;Eplontersen;0;0;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;1;-8.149279657;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;3;0.559038293;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;7;16.73237211;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;14;23.24547526;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;28;32.53657193;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;49;41.80287602;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;71;24.60998552;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;92;10.21896288;TTR;days;Change from baseline in percent;OBS;0;single_dose;1;2
Viney2021;Eplontersen;0;-0.675081351;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;1;-2.234565374;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;3;-22.47663739;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;7;-61.40037916;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;14;-81.34585843;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;28;-86.68605819;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;50;-84.26740407;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;71;-78.7362096;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;92;-68.84672407;TTR;days;Change from baseline in percent;OBS;120;single_dose;1;9
Viney2021;Eplontersen;0;0;TTR;days;Change from baseline in percent;OBS;0;Every 4 weeks;4;6
Viney2021;Eplontersen;7;-17.36585366;TTR;days;Change from baseline in percent;OBS;0;Every 4 weeks;4;6
