Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Dias2012;Evolocumab;0.564455935;1.526811034;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;2;1.862486036;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;4;-1.158588983;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;7;-5.186689009;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;11;-3.843989001;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;14.98126692;-1.829938988;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;22;-3.172638996;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;28;-5.186689009;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;36;-6.529389018;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;43;-4.515339005;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;57;-7.200739022;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;71;-3.508313998;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;85;-5.522364011;LDL;days;Change from baseline in percent;OBS;0;single_dose;14
Dias2012;Evolocumab;0.564455935;1.526811034;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;2;-1.829938988;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;3;-6.529389018;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;5;-5.522364011;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;6;-8.207764029;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;7;-8.207764029;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;10;7.568961072;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;14.57291016;-0.487238979;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;21.37487156;-0.151563977;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;28.99450284;-2.16561399;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;35.57889711;-5.858039013;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;42.82746885;6.561936066;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;57.0362761;2.53383604;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;71.05142469;2.869511042;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;85.09239444;12.2684111;LDL;days;Change from baseline in percent;OBS;7;single_dose;6
Dias2012;Evolocumab;0.563499596;1.191136032;LDL;days;Change from baseline in percent;OBS;21;single_dose;6
Dias2012;Evolocumab;1.363955371;-7.200739022;LDL;days;Change from baseline in percent;OBS;21;single_dose;6
Dias2012;Evolocumab;2.154847754;-18.9493641;LDL;days;Change from baseline in percent;OBS;21;single_dose;6
