Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Gibbs2017;Evolocumab;0.904609267;-65.08226496;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;1.0581;-68.34668803;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;1.2236;-71.0022703;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;1.4486;-73.17501943;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;1.7093;-74.50339938;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;1.9703;-74.88966589;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;2.2315;-74.59761072;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;2.4928;-73.58954934;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;2.7306;-71.77231719;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;2.9092;-69.67663818;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.0402;-67.46581197;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.1595;-64.99935897;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.2669;-62.49145299;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.3625;-60.1338141;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.4580;-57.72435897;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.5535;-55.36672009;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.6490;-53.03498932;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.7445;-50.78098291;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;3.8519;-48.41816239;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.0397;-46.3132716;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.0546;-44.61485043;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.1957;-49.95192308;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.2544;-52.64636752;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.3249;-55.51353276;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.3955;-58.17343305;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.4661;-60.55698006;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
Gibbs2017;Evolocumab;4.5486;-62.95779915;LDL;weeks;Change from baseline in percent;OBS;280;Every 4 weeks;1
