Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Raal2015;Evolocumab;2;-0.479191648;LDL;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;55
Raal2015;Evolocumab;8;1.242308873;LDL;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;55
Raal2015;Evolocumab;10;-1.828369468;LDL;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;55
Raal2015;Evolocumab;12;3.907013783;LDL;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;55
Raal2015;Evolocumab;2;-2.603910569;LDL;weeks;Change from baseline in percent;OBS;0;Every 2 weeks;54
Raal2015;Evolocumab;8;-4.831352772;LDL;weeks;Change from baseline in percent;OBS;0;Every 2 weeks;54
Raal2015;Evolocumab;10;1.208461355;LDL;weeks;Change from baseline in percent;OBS;0;Every 2 weeks;54
Raal2015;Evolocumab;12;-1.558966837;LDL;weeks;Change from baseline in percent;OBS;0;Every 2 weeks;54
Raal2015;Evolocumab;2;-53.31280617;LDL;weeks;Change from baseline in percent;OBS;140;Every 2 weeks;110
Raal2015;Evolocumab;8;-60.09490424;LDL;weeks;Change from baseline in percent;OBS;140;Every 2 weeks;110
Raal2015;Evolocumab;10;-60.02688123;LDL;weeks;Change from baseline in percent;OBS;140;Every 2 weeks;110
Raal2015;Evolocumab;12;-60.16259928;LDL;weeks;Change from baseline in percent;OBS;140;Every 2 weeks;110
Raal2015;Evolocumab;2;-67.88731138;LDL;weeks;Change from baseline in percent;OBS;420;Every 4 weeks;110
Raal2015;Evolocumab;8;-54.42623209;LDL;weeks;Change from baseline in percent;OBS;420;Every 4 weeks;110
Raal2015;Evolocumab;10;-71.16074685;LDL;weeks;Change from baseline in percent;OBS;420;Every 4 weeks;110
Raal2015;Evolocumab;12;-55.60754983;LDL;weeks;Change from baseline in percent;OBS;420;Every 4 weeks;110
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
