Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Kenet2024;Futisiran;0;100;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;14.5769437;28.43494471;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;29.1538874;19.88358747;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;42.78016086;14.76696548;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;57.04021448;13.94906166;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;84.92654155;12.74109836;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;112.1790885;13.25004189;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;140.6991957;13.33298425;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;168.2686327;12.55378686;AT;days;Change from baseline in percent;OBS;80;Monthly;66
Kenet2024;Futisiran;197.10563;12.6376508;AT;days;Change from baseline in percent;OBS;80;Monthly;66
