Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;no_doses;n_subjects
Fitzgerald2017;Inclisiran;1;-11.11435096;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;4;-8.517434101;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;7;-3.599973144;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;14;-10.5063309;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;21;8.350187397;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;28;-4.74001076;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;35;-18.08585372;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;42;-6.957902124;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;57;-2.734334192;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;70;12.04469891;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;84;-0.733592851;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;98;10.95697471;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;113;5.392011867;PCSK9;days;Change from baseline in percent;OBS;0;single_dose;1;6
Fitzgerald2017;Inclisiran;1;4.59842724;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;3;22.3840011;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;4;-25.263649;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;7;-35.28709661;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;14;-40.38913509;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;21;-36.99271133;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;28;-38.99937495;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;42;-41.73743932;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;57;-38.03108326;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;70;-38.44860353;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;84;-30.3597652;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;98;-13.2582139;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;113;-30.15840791;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;140;3.014219124;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;168;-13.27301959;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;180;-15.24612365;PCSK9;days;Change from baseline in percent;OBS;100;single_dose;1;3
Fitzgerald2017;Inclisiran;1;9.49318615;PCSK9;days;Change from baseline in percent;OBS;500;single_dose;1;3
Fitzgerald2017;Inclisiran;2.197832387;6.667274725;PCSK9;days;Change from baseline in percent;OBS;500;single_dose;1;3
Fitzgerald2017;Inclisiran;4;-33.50646643;PCSK9;days;Change from baseline in percent;OBS;500;single_dose;1;3
Fitzgerald2017;Inclisiran;7;-42.50042553;PCSK9;days;Change from baseline in percent;OBS;500;single_dose;1;3
Fitzgerald2017;Inclisiran;14;-58.93868221;PCSK9;days;Change from baseline in percent;OBS;500;single_dose;1;3
Fitzgerald2017;Inclisiran;21;-50.38790657;PCSK9;days;Change from baseline in percent;OBS;500;single_dose;1;3
