Study;Study_CHR;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Dosing_days;n_subjects
Ray2020;Orion-10;Inclisiran;0;0;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;88.47972973;1.986532766;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;147.7702703;1.620696039;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;269.0878378;4.589735283;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;329.2905405;5.86842836;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;450.6081081;3.084042947;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;509.8986486;2.307247316;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;540;1.919196594;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;0;0;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;88.17567568;-54.04109589;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;147.7702703;-58.79026287;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;269.0878378;-48.01300444;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;329.2905405;-55.77540726;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;448.7837838;-45.41049611;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;510.8108108;-56.04822288;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;540.9121622;-53.55956127;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-11;Inclisiran;0;0;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;85.80829995;2.158917747;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;147.1772374;3.598763598;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;268.3231408;4.335305688;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;328.1001068;3.632001927;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;447.6727679;4.368254988;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;507.4559769;4.379238088;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;537.3475814;4.384729638;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;0;0;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;86.95077355;-47.12658665;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;148.2822528;-49.97246196;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;267.9298302;-40.66476657;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;328.1396459;-51.84418129;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;447.2919433;-39.20324355;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;510.1404777;-48.47741159;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;538.4713259;-47.04363534;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-10;Inclisiran;0;0;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;147.7894737;4.692442005;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;329.6842105;8.670491394;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;500.2105263;9.254178099;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;540;6.632077825;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;780
Ray2020;Orion-10;Inclisiran;0;0;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;781
Ray2020;Orion-10;Inclisiran;147.7894737;-76.35021202;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;781
