Study;Study_CHR;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Dosing_days;n_subjects
Ray2020;Orion-11;Inclisiran;0;0;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;85.80829995;2.158917747;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;147.1772374;3.598763598;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;268.3231408;4.335305688;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;328.1001068;3.632001927;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;447.6727679;4.368254988;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;507.4559769;4.379238088;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;537.3475814;4.384729638;LDL;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;0;0;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;86.95077355;-47.12658665;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;148.2822528;-49.97246196;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;267.9298302;-40.66476657;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;328.1396459;-51.84418129;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;447.2919433;-39.20324355;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;510.1404777;-48.47741159;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;538.4713259;-47.04363534;LDL;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;0;0;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;147.7894737;5.445614035;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;147.7894737;5.445614035;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;327.7894737;17.77894737;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;500.2105263;16.14035088;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;541.8947368;13.98596491;PCSK9;days;Change from baseline in percent;OBS;0;1,90,270,450;807
Ray2020;Orion-11;Inclisiran;0;0;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;147.7894737;-72.55438596;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;325.8947368;-67.21403509;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;502.1052632;-66.86666667;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;810
Ray2020;Orion-11;Inclisiran;541.8947368;-64.01403509;PCSK9;days;Change from baseline in percent;OBS;300;1,90,270,450;810
