Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Benson2018;Inotersen;0;0;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;3;-47.6;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;5;-60.8;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;8;-67.8;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;13;-70.1;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;18;-70.4;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;23;-68.4;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;28.95125554;-72.4;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;35;-74;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;41;-73.5;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;47;-71.1;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;53;-70.8;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;59;-71.5;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;65;-71.1;TTR;weeks;Change from baseline in percent;OBS;300;Weekly;112
Benson2018;Inotersen;0;0;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;2.998522895;-8.5;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;5;-5.1;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;8;-5.7;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;13;-8.8;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;18;-8.1;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;23;-10.6;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;29;-5;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;34.94830133;-9.6;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;41.04874446;-6.5;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;47.04579025;-5.8;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;53.04283604;-5.4;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;59.03988183;-6;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
Benson2018;Inotersen;65.2437223;-5.2;TTR;weeks;Change from baseline in percent;OBS;0;Weekly;60
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
