Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_doses;n_subjects
Alexander2019;Olezarsen;0;0;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;2;-14.68401487;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;3;-31.41263941;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;8;-89.40520446;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;15;-92.75092937;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;30;-89.96282528;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;60;-69.33085502;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;90;-54.83271375;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;120;-31.41263941;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;150;-21.9330855;APOC3;days;Change from baseline in percent;OBS;120;single_dose;1;6
Alexander2019;Olezarsen;0;0;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;2;-5.762081784;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;3;-27.50929368;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;8;-76.57992565;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;15;-78.81040892;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;30;-73.23420074;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;60;-60.96654275;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;90;-30.29739777;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;120;-18.58736059;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;150;-4.646840149;APOC3;days;Change from baseline in percent;OBS;90;single_dose;1;6
Alexander2019;Olezarsen;0;0;APOC3;days;Change from baseline in percent;OBS;60;single_dose;1;6
Alexander2019;Olezarsen;2;9.293680297;APOC3;days;Change from baseline in percent;OBS;60;single_dose;1;6
Alexander2019;Olezarsen;3;-16.91449814;APOC3;days;Change from baseline in percent;OBS;60;single_dose;1;6
Alexander2019;Olezarsen;8;-55.39033457;APOC3;days;Change from baseline in percent;OBS;60;single_dose;1;6
Alexander2019;Olezarsen;15;-64.86988848;APOC3;days;Change from baseline in percent;OBS;60;single_dose;1;6
