Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Stroes2024;Olezarsen;0;0;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;5;-59.53974443;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;9.153256288;-58.88744939;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;13;-71.03606015;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;17;-75.18345157;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;21;-73.57146517;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;23;-76.12592875;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;25;-73.55916931;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;27;-80.27332018;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;29.01524814;-73.22748866;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;37.05969765;-73.84320353;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;44.90022555;-73.81953401;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;51.01040665;-75.40108818;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;53.04541397;-71.87494476;APOC3;weeks;Change from baseline in percent;OBS;80;Every 4 weeks;22
Stroes2024;Olezarsen;0;0;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;4.870359436;-44.18037889;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;8.947433945;-53.76807074;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;12.91928925;-55.35608024;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;16.99514186;-62.06377577;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;21.0692295;-64.61147664;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;22.90275901;-66.20594146;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;24.9366802;-60.11980132;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;26.97399555;-62.03365093;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;28.90826397;-61.06781163;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;37.05535312;-63.60321665;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;44.89588102;-63.57954713;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;50.90491591;-66.76140665;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;53.04378477;-68.03494968;APOC3;weeks;Change from baseline in percent;OBS;50;Every 4 weeks;21
Stroes2024;Olezarsen;0;0;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;4.851895162;-0.660434633;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;8.820627831;5.111546447;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;12.69133693;1.923231606;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;16.86806421;-2.544159405;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;20.93875768;2.90812948;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;23.07694771;3.234584394;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;24.90749035;8.68011056;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
Stroes2024;Olezarsen;27.04527308;9.966564244;APOC3;weeks;Change from baseline in percent;OBS;0;Every 4 weeks;23
