Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;no_doses;n_subjects
Gaudet_etal_2024;Plozasiran;0;0;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;4;-85.89211618;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;8;-80.91286307;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;12;-73.4439834;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;16;-87.55186722;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;20;-87.55186722;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;24;-80.08298755;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;28;-74.27385892;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;36;-60.1659751;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;48;-47.71784232;APOC3;weeks;Change from baseline in percent;OBS;50;Once every 3 months;2;57
Gaudet_etal_2024;Plozasiran;0;0;APOC3;weeks;Change from baseline in percent;OBS;25;Once every 3 months;2;55
Gaudet_etal_2024;Plozasiran;4;-86.7219917;APOC3;weeks;Change from baseline in percent;OBS;25;Once every 3 months;2;55
Gaudet_etal_2024;Plozasiran;8;-80.08298755;APOC3;weeks;Change from baseline in percent;OBS;25;Once every 3 months;2;55
Gaudet_etal_2024;Plozasiran;12;-74.27385892;APOC3;weeks;Change from baseline in percent;OBS;25;Once every 3 months;2;55
Gaudet_etal_2024;Plozasiran;16;-90.04149378;APOC3;weeks;Change from baseline in percent;OBS;25;Once every 3 months;2;55
