Study;Drug;Time;DV ;DV_CHR;Time_unit;DV_unit;DV_type;Dose_mg;Frequency;n_subjects
Watts_etal_2025;Plozasiran;0;0;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;1;-70.07228916;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;2;-68.3373494;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;3;-70.93975904;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;4;-77.44578313;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;5;-76.57831325;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;6;-53.59036145;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;7;-73.54216867;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;8;-64;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;9;-75.71084337;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;10;-77.44578313;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;11;-70.93975904;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;12;-70.93975904;TG;months;Change from baseline in percent;OBS;50;Once every 3 months;24
Watts_etal_2025;Plozasiran;0;0;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
Watts_etal_2025;Plozasiran;1;-84.81927711;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
Watts_etal_2025;Plozasiran;2;-78.74698795;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
Watts_etal_2025;Plozasiran;3;-73.97590361;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
Watts_etal_2025;Plozasiran;4;-78.74698795;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
Watts_etal_2025;Plozasiran;5;-80.04819277;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
Watts_etal_2025;Plozasiran;6;-71.80722892;TG;months;Change from baseline in percent;OBS;25;Once every 3 months;26
